epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,18447.2,0.99647,0.89025,0.01445,0.76159,0.63892,0.70384,0.50137,1.16596,1.33199,0.02078,0.0006338,0.0006338,0.0006338
71,18698.4,0.98845,0.89342,0.01424,0.75785,0.63823,0.70298,0.50216,1.1625,1.33868,0.02071,0.000614,0.000614,0.000614
72,18950.6,0.99504,0.88471,0.01431,0.75986,0.63414,0.70377,0.50231,1.1631,1.33942,0.02072,0.0005942,0.0005942,0.0005942
73,19202.7,0.98341,0.8713,0.01422,0.75222,0.63831,0.70379,0.50268,1.16016,1.34355,0.02066,0.0005744,0.0005744,0.0005744
74,19453,0.98579,0.86771,0.01408,0.75105,0.64042,0.70357,0.50286,1.15709,1.34374,0.02061,0.0005546,0.0005546,0.0005546
75,19782,0.98372,0.87144,0.01415,0.75632,0.63831,0.70299,0.50217,1.15519,1.34869,0.02057,0.0005348,0.0005348,0.0005348
76,20154.3,0.97599,0.86044,0.01419,0.7505,0.63783,0.70279,0.50205,1.15516,1.35036,0.02055,0.000515,0.000515,0.000515
77,20502.5,0.97655,0.85389,0.01399,0.75572,0.63536,0.70293,0.50217,1.15825,1.34111,0.02063,0.0004952,0.0004952,0.0004952
78,20853.1,0.9766,0.85703,0.01407,0.75363,0.63657,0.70312,0.50246,1.15512,1.34507,0.02058,0.0004754,0.0004754,0.0004754
79,21199,0.97255,0.85509,0.01403,0.75548,0.63754,0.70394,0.50339,1.15657,1.33982,0.02062,0.0004556,0.0004556,0.0004556
80,21483,0.97085,0.85047,0.01397,0.75946,0.63879,0.70475,0.50413,1.15708,1.33829,0.02063,0.0004358,0.0004358,0.0004358
81,21735.5,0.85381,0.55941,0.01603,0.75254,0.63931,0.70569,0.50434,1.158,1.33541,0.02067,0.000416,0.000416,0.000416
82,21986.6,0.83937,0.54412,0.01557,0.75697,0.64128,0.70653,0.50547,1.15669,1.33561,0.02064,0.0003962,0.0003962,0.0003962
83,22239.8,0.82421,0.52223,0.01523,0.75777,0.64063,0.70619,0.50575,1.15471,1.33613,0.02057,0.0003764,0.0003764,0.0003764
84,22489.8,0.81829,0.51434,0.01518,0.75545,0.64088,0.70679,0.50614,1.15505,1.33512,0.0206,0.0003566,0.0003566,0.0003566
85,22740.7,0.81003,0.51147,0.01495,0.76649,0.64046,0.70744,0.50711,1.15336,1.33247,0.02057,0.0003368,0.0003368,0.0003368
86,22989.3,0.80324,0.50441,0.01471,0.7645,0.64013,0.70744,0.50781,1.15091,1.3316,0.02053,0.000317,0.000317,0.000317
87,23238,0.80671,0.50013,0.0147,0.76048,0.64159,0.70702,0.50804,1.14961,1.33381,0.02052,0.0002972,0.0002972,0.0002972
88,23486,0.80109,0.49992,0.01466,0.75827,0.64056,0.70635,0.50864,1.14832,1.33341,0.02047,0.0002774,0.0002774,0.0002774
89,23733.3,0.80059,0.48964,0.01467,0.7632,0.63748,0.70545,0.50858,1.14548,1.33346,0.02041,0.0002576,0.0002576,0.0002576
90,23981.4,0.7953,0.47996,0.01444,0.75706,0.64077,0.70538,0.50883,1.14279,1.33379,0.02035,0.0002378,0.0002378,0.0002378
91,24228.3,0.788,0.47904,0.01431,0.7591,0.64126,0.70551,0.50916,1.14138,1.33153,0.02031,0.000218,0.000218,0.000218
92,24477,0.78782,0.47667,0.01425,0.75741,0.6428,0.70598,0.50998,1.14077,1.32944,0.02031,0.0001982,0.0001982,0.0001982
93,24725.1,0.78272,0.47354,0.01418,0.75901,0.64179,0.70587,0.51025,1.13853,1.32734,0.02025,0.0001784,0.0001784,0.0001784
94,24974,0.77814,0.46646,0.01405,0.75987,0.6433,0.706,0.5102,1.13483,1.33139,0.02016,0.0001586,0.0001586,0.0001586
95,25223,0.77911,0.46298,0.01416,0.75756,0.64151,0.70607,0.51103,1.13514,1.32803,0.02015,0.0001388,0.0001388,0.0001388
96,25476.8,0.77258,0.46339,0.014,0.75922,0.64201,0.7057,0.51148,1.13454,1.32766,0.02016,0.000119,0.000119,0.000119
97,25728.7,0.77557,0.4618,0.01389,0.75856,0.64173,0.70545,0.51139,1.13367,1.32709,0.02012,9.92e-05,9.92e-05,9.92e-05
98,25978.8,0.77176,0.46059,0.01397,0.75136,0.64493,0.7054,0.51135,1.13358,1.32699,0.02012,7.94e-05,7.94e-05,7.94e-05
99,26228.5,0.76615,0.45476,0.01394,0.75541,0.64169,0.70541,0.51155,1.13116,1.33102,0.02006,5.96e-05,5.96e-05,5.96e-05
100,26475.9,0.76763,0.45314,0.01382,0.7574,0.6412,0.70511,0.51183,1.13077,1.33035,0.02005,3.98e-05,3.98e-05,3.98e-05
